,_id,RecordType,Line,Floor,Description,Area,Price,Value,UAN
0,5ff5fc9d01ca7dbc6d2a48da,2.0,5,Ground,Public Toilets,9.21,37.50,345.0,10944259000
1,5ff5fc9d01ca7dbc6d2a48db,2.0,6,Ground,Public Toilets,6.90,37.50,259.0,10944259000
2,5ff5fc9d01ca7dbc6d2a48d7,2.0,2,Ground,Kitchen,25.88,52.50,1359.0,10944259000
3,5ff5fc9d01ca7dbc6d2a48d9,2.0,4,Ground,Internal Storage,2.01,37.50,75.0,10944259000
4,5ff5fc9d01ca7dbc6d2a48d6,2.0,1,Ground,Ground Floor Sales,100.84,75.00,7563.0,10944259000
5,5ff5fc9d01ca7dbc6d2a49f6,2.0,1,Ground,"Hard Surfaced, Fenced Land",8000.00,12.00,96000.0,12032600000
6,5ff5fc9d01ca7dbc6d2a48d8,2.0,3,Ground,Internal Storage,8.53,37.50,320.0,10944259000
7,5ff5fc9d01ca7dbc6d2a58aa,2.0,1,Ground,All Main Areas,1220.00,105.00,128100.0,321712212
8,5ff5fc9d01ca7dbc6d2a630f,2.0,2,Ground,Retail Zone B,12.20,100.00,1220.0,248913212
9,5ff5fc9d01ca7dbc6d2a631a,2.0,11,First,Retail Area,28.97,35.00,1014.0,248888212
10,5ff5fc9d01ca7dbc6d2a56d1,2.0,3,Ground,Internal Storage,8.46,19.00,161.0,120981212
11,5ff5fc9d01ca7dbc6d2a6310,2.0,1,Ground,Retail Zone B,33.50,175.00,5863.0,248888212
12,5ff5fc9d01ca7dbc6d2a56d3,2.0,5,Ground,Staff Toilets,,0.00,0.0,120981212
13,5ff5fc9d01ca7dbc6d2a6318,2.0,9,Ground,Retail Zone A,44.10,350.00,15435.0,248888212
14,5ff5fc9d01ca7dbc6d2a6313,2.0,4,Ground,Retail Zone C,61.90,78.75,4875.0,248888212
15,5ff5fc9d01ca7dbc6d2a5463,2.0,3,Ground,Internal Storage,17.00,30.00,510.0,9670408000
16,5ff5fc9d01ca7dbc6d2a6316,2.0,7,First,Kitchen,5.20,17.50,91.0,248888212
17,5ff5fc9d01ca7dbc6d2a6066,2.0,5,Ground,Internal Storage,29.05,18.00,523.0,8982923000
18,5ff5fc9d01ca7dbc6d2a6158,2.0,3,Basement,Store,15.69,10.00,157.0,8079884000
19,5ff5fc9d01ca7dbc6d2a6312,2.0,3,Ground,Retail Zone C,17.20,78.75,1355.0,248888212
20,5ff5fc9d01ca7dbc6d2a5461,2.0,1,Ground,Office,75.00,60.00,4500.0,9670408000
21,5ff5fc9d01ca7dbc6d2a5464,2.0,4,First,Office,76.61,51.00,3907.0,9670408000
22,5ff5fc9d01ca7dbc6d2a5466,2.0,6,Ground,Garage,13.00,15.00,195.0,9670408000
23,5ff5fc9d01ca7dbc6d2a56d0,2.0,2,Ground,Retail Zone B,18.91,100.00,1891.0,120981212
24,5ff5fc9d01ca7dbc6d2a6065,2.0,4,Ground,Kitchen,16.40,18.00,295.0,8982923000
25,5ff5fc9d01ca7dbc6d2a6064,2.0,3,Ground,Retail Zone B,25.70,90.00,2313.0,8982923000
26,5ff5fc9d01ca7dbc6d2a6319,2.0,10,Ground,Store,30.17,35.00,1056.0,248888212
27,5ff5fc9d01ca7dbc6d2a6156,2.0,1,Ground,Retail Zone A,19.58,200.00,3916.0,8079884000
28,5ff5fc9d01ca7dbc6d2a5465,2.0,5,First,Office,92.75,51.00,4730.0,9670408000
29,5ff5fc9d01ca7dbc6d2a6157,2.0,2,Ground,Retail Zone B,23.66,100.00,2366.0,8079884000
30,5ff5fc9d01ca7dbc6d2a6315,2.0,6,First,Office,7.90,21.88,173.0,248888212
31,5ff5fc9d01ca7dbc6d2a630e,2.0,1,Ground,Retail Zone A,29.90,200.00,5980.0,248913212
32,5ff5fc9d01ca7dbc6d2a5462,2.0,2,Ground,Office,295.77,60.00,17746.0,9670408000
33,5ff5fc9d01ca7dbc6d2a56cf,2.0,1,Ground,Retail Zone A,26.66,200.00,5332.0,120981212
