,_id,RecordType,AssessmentReference,UARN,BillingAuthorityCode,FirmsName,NumberOrName,SubStreet3,SubStreet2,Substreet1,Street,PostalDistrict,Town,County,Postcode,SchemeReference,PrimaryDesc,TotalArea,SubTotal,TotalValue,AdoptedRV,ListYear,BAName,BAReferenceNumber,VORef,FromDate,ToDate,SCAT,UoM,UnadjustedPrice,UAN
15,5ff5f6b401ca7dbc6d015928,1.0,20199038000,11621565000,0116,,95-97,,,,FISHPONDS ROAD,EASTVILLE,BRISTOL,,BS5 6PN,313869.0,Shop And Premises,137.0,20749.0,20749.0,20500.0,2017.0,Bristol City,00012502095012,30802527285.0,01-NOV-2018,,249.0,NIA,250.0,11621565000
16,5ff5f6b401ca7dbc6d0159d0,1.0,23329366000,12718371000,0116,The Occupier,2,,,,HIGH STREET,EASTON,BRISTOL,,BS5 6DL,313869.0,Shop And Premises,21.73,3042.0,3042.0,3000.0,2017.0,Bristol City,00014132002045,34150124596.0,02-JUN-2020,,249.0,NIA,140.0,12718371000
17,5ff5f6b401ca7dbc6d015732,1.0,16393822000,6031527000,0116,The Occupier,IKEA WAREHOUSE,,,GLENFROME HOUSE,EASTGATE ROAD,,BRISTOL,,BS5 6XX,332346.0,Warehouse And Premises,5700.6,237799.0,240109.0,240000.0,2017.0,Bristol City,00018301680067,20772315212.0,01-APR-2017,,96.0,GIA,40.5,6031527000
18,5ff5f6b401ca7dbc6d0164c3,1.0,17767248000,8996797000,0116,The Occupier,UNIT 1 AT 105,,,,GLENFROME ROAD,ST WERBURGHS,BRISTOL,,BS2 9UY,402770.0,Offices And Premises,62.95,10387.0,10537.0,10500.0,2017.0,Bristol City,00015833105001,24433390212.0,01-APR-2017,17-SEP-2018,203.0,NIA,165.0,8996797000
19,5ff5f6b401ca7dbc6d015c27,1.0,19832544000,11214732000,0116,The Occupier,25,,,,MINA ROAD,,BRISTOL,,BS2 9TA,314166.0,Workshop And Premises,280.43,13181.0,13181.0,13000.0,2017.0,Bristol City,00012530001008,30130598212.0,29-NOV-2017,,96.0,GIA,40.0,11214732000
20,5ff5f6b401ca7dbc6d015d8e,1.0,23593444000,12869046000,0116,The Occupier,FORD ACCIDENT REPAIR CENTRE,,,,PETHERBRIDGE WAY,,BRISTOL,,BS7 9NZ,332266.0,Workshop And Premises,708.23,27849.0,43389.0,43250.0,2017.0,Bristol City,00013749162005,34433969596.0,19-AUG-2020,,96.0,GIA,40.0,12869046000
21,5ff5f6b401ca7dbc6d016480,1.0,19631403000,336441212,0116,The Occupier,43,,,,NEVIL ROAD,,BRISTOL,,BS7 9EG,435681.0,Surgery And Premises,294.58,19840.0,19840.0,19750.0,2017.0,Bristol City,00013118043045,29527632212.0,08-AUG-2017,,437.0,NIA,90.0,336441212
22,5ff5f6b401ca7dbc6d016be4,1.0,18870912000,331873212,0116,,421-425,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TZ,315166.0,Shop And Premises,266.29,24136.0,24136.0,24000.0,2017.0,Bristol City,00012362421019,20766119212.0,01-APR-2017,,249.0,NIA,200.0,331873212
23,5ff5f6b401ca7dbc6d016f66,1.0,18872359000,5686212,0116,The Occupier,157,,,,ASHLEY ROAD,,BRISTOL,,BS6 5NX,315166.0,Shop And Premises,107.6,9444.0,9444.0,9400.0,2017.0,Bristol City,0001538915700B,20689098212.0,01-APR-2017,,249.0,NIA,215.0,5686212
24,5ff5f6b401ca7dbc6d0171d9,1.0,20414662000,248930212,0116,The Occupier,405,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TS,315166.0,Shop And Premises,88.04,8746.0,8746.0,8700.0,2017.0,Bristol City,00012362405001,33247537283.0,08-APR-2019,,249.0,NIA,200.0,248930212
